t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,fault
0.4196,0.033,0.0013144604163244367,0.459,0.3159,0
0.4206,0.033,0.0012545313220471144,0.212,0.3159,0
0.4216,0.033,0.0010993517935276031,-0.071,0.3159,0
0.4227,0.033,0.0008437799988314509,-0.377,0.3159,0
0.4238,0.033,0.0006263451068662107,-0.657,0.3159,0
0.4248,0.033,0.0004345591878518462,-0.908,0.3159,0
0.4259,0.033,0.00029370395350269973,-1.122,0.3159,0
0.427,0.033,0.0001949032739503309,-1.281,0.3159,0
0.428,0.033,0.00013289268827065825,-1.392,0.3159,0
0.429,0.033,-5.4179723520064726e-05,-1.498,0.3159,0
0.43,0.033,-0.00045060671982355416,-1.628,0.3159,0
0.431,0.033,-0.0008185076294466853,-1.714,0.3159,0
0.432,0.033,-0.0009843384614214301,-1.707,0.3159,0
0.433,0.033,-0.0009064733167178929,-1.595,0.3159,0
0.434,0.033,-0.0008589093922637403,-1.456,0.3159,0
0.435,0.033,-0.0007769428193569183,-1.286,0.3159,0
0.4359,0.033,-0.0008494823123328388,-1.137,0.3159,0
0.4369,0.033,-0.0009217156912200153,-0.967,0.3159,0
0.4379,0.033,-0.0008127533947117627,-0.725,0.3159,0
0.4388,0.033,-0.0006412906805053353,-0.454,0.3159,0
0.4398,0.033,-0.00047815320431254804,-0.184,0.3159,0
0.4408,0.033,-0.00034452127874828875,0.082,0.3159,0
0.4418,0.033,-0.0002513523504603654,0.343,0.3159,0
0.4427,0.033,-8.98677171790041e-05,0.601,0.3159,0
0.4437,0.033,9.579675679560751e-05,0.851,0.3159,0
0.4447,0.033,0.00028666446451097727,1.085,0.3159,0
0.4457,0.033,0.0003653255116660148,1.268,0.3159,0
0.4466,0.033,0.00033300407812930644,1.388,0.3159,0
0.4476,0.033,0.0005999006680212915,1.566,0.3159,0
0.4486,0.033,0.0010261393617838621,1.755,0.3159,0
0.4496,0.033,0.0010727237677201629,1.801,0.3159,0
0.4506,0.033,0.0012462675804272294,1.845,0.3159,0
0.4516,0.033,0.0013158073415979743,1.824,0.3159,0
0.4526,0.038,0.0013374162372201681,1.754,0.3167,0
0.4536,0.038,0.0015164081705734134,1.694,0.3167,0
0.4546,0.038,0.0019368922803550959,1.669,0.3167,0
0.4556,0.038,0.0022252139169722795,1.579,0.3167,0
0.4566,0.038,0.0022760219871997833,1.402,0.3167,0
0.4576,0.038,0.0024856827221810818,1.251,0.3167,0
0.4586,0.044,0.0027549052610993385,1.099,0.3175,0
0.4596,0.044,0.003077996661886573,0.952,0.3175,0
0.4606,0.044,0.0034167589619755745,0.812,0.3175,0
0.4616,0.044,0.0032872280571609735,0.544,0.3175,0
0.4626,0.049,0.0029913156758993864,0.244,0.3182,0
0.4636,0.049,0.0024904562160372734,-0.104,0.3182,0
0.4646,0.049,0.002078909194096923,-0.406,0.3182,0
0.4656,0.049,0.0015992908738553524,-0.703,0.3182,0
0.4666,0.049,0.0013009300455451012,-0.923,0.3182,0
0.4676,0.049,0.00106102938298136,-1.094,0.3182,0
0.4686,0.049,0.0008061311091296375,-1.235,0.3182,0
